geoid,year,measure,value,moe,Unnamed: 0
51760030100,2019,employment_access_index,0.451,,1
51710004800,2019,employment_access_index,0.285,,2
51760020200,2019,employment_access_index,0.204,,3
51770002502,2019,employment_access_index,0.146,,4
51710004200,2019,employment_access_index,0.284,,5
51760030501,2019,employment_access_index,0.473,,6
51760020100,2019,employment_access_index,0.268,,7
51710004100,2019,employment_access_index,0.292,,8
51730810100,2019,employment_access_index,0.055,,9
51700030100,2019,employment_access_index,0.087,,10
51740211800,2019,employment_access_index,0.14,,11
51710003501,2019,employment_access_index,0.259,,12
51003010904,2019,employment_access_index,0.136,,13
51013101704,2019,employment_access_index,1.0,,14
51013101408,2019,employment_access_index,0.618,,15
51760020400,2019,employment_access_index,0.354,,16
51740210500,2019,employment_access_index,0.139,,17
51059451400,2019,employment_access_index,0.362,,18
51760040300,2019,employment_access_index,0.479,,19
51013102701,2019,employment_access_index,0.445,,20
51760060800,2019,employment_access_index,0.126,,21
51590000400,2019,employment_access_index,0.034,,22
51730810600,2019,employment_access_index,0.047,,23
51059451601,2019,employment_access_index,0.333,,24
51730810700,2019,employment_access_index,0.049,,25
51760010300,2019,employment_access_index,0.143,,26
51510201206,2019,employment_access_index,0.47,,27
51013103505,2019,employment_access_index,0.696,,28
51700030600,2019,employment_access_index,0.109,,29
51013103503,2019,employment_access_index,0.716,,30
51760021000,2019,employment_access_index,0.125,,31
51710005100,2019,employment_access_index,0.157,,32
51650011400,2019,employment_access_index,0.097,,33
51087200805,2019,employment_access_index,0.133,,34
51013103602,2019,employment_access_index,0.63,,35
51700030800,2019,employment_access_index,0.147,,36
51760060900,2019,employment_access_index,0.101,,37
51590000500,2019,employment_access_index,0.054,,38
51013101603,2019,employment_access_index,0.113,,39
51760070601,2019,employment_access_index,0.119,,40
51700030400,2019,employment_access_index,0.106,,41
51105950301,2019,employment_access_index,0.008,,42
51740212100,2019,employment_access_index,0.167,,43
51059461902,2019,employment_access_index,0.26,,44
51800065500,2019,employment_access_index,0.046,,45
51710000902,2019,employment_access_index,0.066,,46
51760060700,2019,employment_access_index,0.151,,47
51710002900,2019,employment_access_index,0.197,,48
51800065100,2019,employment_access_index,0.05,,49
51710001300,2019,employment_access_index,0.093,,50
51710002700,2019,employment_access_index,0.208,,51
51680001100,2019,employment_access_index,0.085,,52
51680000600,2019,employment_access_index,0.088,,53
51710004300,2019,employment_access_index,0.22,,54
51041100406,2019,employment_access_index,0.059,,55
51590001000,2019,employment_access_index,0.044,,56
51710005701,2019,employment_access_index,0.104,,57
51041100404,2019,employment_access_index,0.058,,58
51770001000,2019,employment_access_index,0.141,,59
51510201205,2019,employment_access_index,0.47,,60
51595890100,2019,employment_access_index,0.019,,61
51550020100,2019,employment_access_index,0.131,,62
51013101804,2019,employment_access_index,0.8,,63
51710002500,2019,employment_access_index,0.113,,64
51620090200,2019,employment_access_index,0.022,,65
51510200102,2019,employment_access_index,0.343,,66
51121020301,2019,employment_access_index,0.046,,67
51770002600,2019,employment_access_index,0.141,,68
51013102001,2019,employment_access_index,0.591,,69
51510200304,2019,employment_access_index,0.322,,70
51760030200,2019,employment_access_index,0.474,,71
51680000400,2019,employment_access_index,0.066,,72
51510200106,2019,employment_access_index,0.38,,73
51013101705,2019,employment_access_index,1.0,,74
51510200108,2019,employment_access_index,0.32,,75
51810045810,2019,employment_access_index,0.111,,76
51013103300,2019,employment_access_index,0.592,,77
51710004600,2019,employment_access_index,0.166,,78
51770000900,2019,employment_access_index,0.085,,79
51520020201,2019,employment_access_index,0.045,,80
51810040600,2019,employment_access_index,0.172,,81
51700032300,2019,employment_access_index,0.032,,82
51059415401,2019,employment_access_index,0.163,,83
51700032006,2019,employment_access_index,0.089,,84
51710001400,2019,employment_access_index,0.104,,85
51710003400,2019,employment_access_index,0.197,,86
51730810400,2019,employment_access_index,0.045,,87
51680000700,2019,employment_access_index,0.083,,88
51760071004,2019,employment_access_index,0.144,,89
51710001100,2019,employment_access_index,0.066,,90
51013101701,2019,employment_access_index,0.851,,91
51710005901,2019,employment_access_index,0.122,,92
51059450702,2019,employment_access_index,0.265,,93
51680001900,2019,employment_access_index,0.052,,94
51710004400,2019,employment_access_index,0.181,,95
51710005500,2019,employment_access_index,0.092,,96
51059480203,2019,employment_access_index,0.576,,97
51177020313,2019,employment_access_index,0.056,,98
51710004500,2019,employment_access_index,0.175,,99
51510200409,2019,employment_access_index,0.303,,100
51730811200,2019,employment_access_index,0.039,,101
51670820100,2019,employment_access_index,0.044,,102
51013103504,2019,employment_access_index,0.696,,103
51510200109,2019,employment_access_index,0.32,,104
51059480205,2019,employment_access_index,0.603,,105
51013102200,2019,employment_access_index,0.418,,106
51540000202,2019,employment_access_index,0.197,,107
51540000401,2019,employment_access_index,0.162,,108
51680000205,2019,employment_access_index,0.068,,109
51710005800,2019,employment_access_index,0.106,,110
51199050207,2019,employment_access_index,0.065,,111
51760020700,2019,employment_access_index,0.251,,112
51710001600,2019,employment_access_index,0.09,,113
51700032126,2019,employment_access_index,0.138,,114
51740211100,2019,employment_access_index,0.167,,115
51550020910,2019,employment_access_index,0.1,,116
51730811300,2019,employment_access_index,0.058,,117
51153900203,2019,employment_access_index,0.108,,118
51710004002,2019,employment_access_index,0.292,,119
51550020500,2019,employment_access_index,0.102,,120
51059421500,2019,employment_access_index,0.148,,121
