geoid,measure,measure_type,region_name,region_type,value,year,moe
51177020309,gini_index,index,"Census Tract 203.09, Spotsylvania County, Virginia",tract,0.4095,2015,0.0559
51059451602,gini_index,index,"Census Tract 4516.02, Fairfax County, Virginia",tract,0.4515,2015,0.0711
51059416300,gini_index,index,"Census Tract 4163, Fairfax County, Virginia",tract,0.494,2015,0.0568
51059421300,gini_index,index,"Census Tract 4213, Fairfax County, Virginia",tract,0.3064,2015,0.0295
51059421500,gini_index,index,"Census Tract 4215, Fairfax County, Virginia",tract,0.4635,2015,0.0426
51059421900,gini_index,index,"Census Tract 4219, Fairfax County, Virginia",tract,0.3211,2015,0.0508
51059430400,gini_index,index,"Census Tract 4304, Fairfax County, Virginia",tract,0.3758,2015,0.0576
51059460300,gini_index,index,"Census Tract 4603, Fairfax County, Virginia",tract,0.3652,2015,0.0315
51059451900,gini_index,index,"Census Tract 4519, Fairfax County, Virginia",tract,0.3889,2015,0.0353
51059452000,gini_index,index,"Census Tract 4520, Fairfax County, Virginia",tract,0.4763,2015,0.0399
51059481000,gini_index,index,"Census Tract 4810, Fairfax County, Virginia",tract,0.3377,2015,0.0517
51059481900,gini_index,index,"Census Tract 4819, Fairfax County, Virginia",tract,0.4494,2015,0.0587
51059415200,gini_index,index,"Census Tract 4152, Fairfax County, Virginia",tract,0.4067,2015,0.0526
51059415600,gini_index,index,"Census Tract 4156, Fairfax County, Virginia",tract,0.3855,2015,0.0389
51059416200,gini_index,index,"Census Tract 4162, Fairfax County, Virginia",tract,0.3588,2015,0.029
51059450400,gini_index,index,"Census Tract 4504, Fairfax County, Virginia",tract,0.4699,2015,0.0466
51059416000,gini_index,index,"Census Tract 4160, Fairfax County, Virginia",tract,0.4533,2015,0.0452
51031020402,gini_index,index,"Census Tract 204.02, Campbell County, Virginia",tract,0.394,2015,0.0558
51031020403,gini_index,index,"Census Tract 204.03, Campbell County, Virginia",tract,0.3508,2015,0.0486
51033030100,gini_index,index,"Census Tract 301, Caroline County, Virginia",tract,0.4604,2015,0.0497
51033030201,gini_index,index,"Census Tract 302.01, Caroline County, Virginia",tract,0.3222,2015,0.0379
51033030202,gini_index,index,"Census Tract 302.02, Caroline County, Virginia",tract,0.4407,2015,0.058
51033030300,gini_index,index,"Census Tract 303, Caroline County, Virginia",tract,0.4403,2015,0.0723
51033030400,gini_index,index,"Census Tract 304, Caroline County, Virginia",tract,0.4257,2015,0.0388
51033030500,gini_index,index,"Census Tract 305, Caroline County, Virginia",tract,0.3693,2015,0.0379
51033030600,gini_index,index,"Census Tract 306, Caroline County, Virginia",tract,0.3944,2015,0.0784
51035080100,gini_index,index,"Census Tract 801, Carroll County, Virginia",tract,0.4956,2015,0.11
51035080200,gini_index,index,"Census Tract 802, Carroll County, Virginia",tract,0.4576,2015,0.0526
51035080300,gini_index,index,"Census Tract 803, Carroll County, Virginia",tract,0.398,2015,0.0466
51035080400,gini_index,index,"Census Tract 804, Carroll County, Virginia",tract,0.4102,2015,0.0366
51035080500,gini_index,index,"Census Tract 805, Carroll County, Virginia",tract,0.4553,2015,0.1133
51107610507,gini_index,index,"Census Tract 6105.07, Loudoun County, Virginia",tract,0.3548,2015,0.0376
51107610603,gini_index,index,"Census Tract 6106.03, Loudoun County, Virginia",tract,0.3882,2015,0.0351
51107610604,gini_index,index,"Census Tract 6106.04, Loudoun County, Virginia",tract,0.3307,2015,0.048
51107610701,gini_index,index,"Census Tract 6107.01, Loudoun County, Virginia",tract,0.3175,2015,0.037
51107610702,gini_index,index,"Census Tract 6107.02, Loudoun County, Virginia",tract,0.3798,2015,0.0412
51107610703,gini_index,index,"Census Tract 6107.03, Loudoun County, Virginia",tract,0.445,2015,0.0398
51107611010,gini_index,index,"Census Tract 6110.10, Loudoun County, Virginia",tract,0.5261,2015,0.0771
51107611011,gini_index,index,"Census Tract 6110.11, Loudoun County, Virginia",tract,0.3872,2015,0.0392
51107611012,gini_index,index,"Census Tract 6110.12, Loudoun County, Virginia",tract,0.3567,2015,0.0454
51107611013,gini_index,index,"Census Tract 6110.13, Loudoun County, Virginia",tract,0.4109,2015,0.0722
51107611014,gini_index,index,"Census Tract 6110.14, Loudoun County, Virginia",tract,0.3442,2015,0.036
51107611015,gini_index,index,"Census Tract 6110.15, Loudoun County, Virginia",tract,0.3654,2015,0.0393
51107611016,gini_index,index,"Census Tract 6110.16, Loudoun County, Virginia",tract,0.2896,2015,0.0321
51107611017,gini_index,index,"Census Tract 6110.17, Loudoun County, Virginia",tract,0.4304,2015,0.0548
51107611018,gini_index,index,"Census Tract 6110.18, Loudoun County, Virginia",tract,0.3595,2015,0.0367
51107611009,gini_index,index,"Census Tract 6110.09, Loudoun County, Virginia",tract,0.3761,2015,0.0561
51107611019,gini_index,index,"Census Tract 6110.19, Loudoun County, Virginia",tract,0.3078,2015,0.0414
51107611020,gini_index,index,"Census Tract 6110.20, Loudoun County, Virginia",tract,0.375,2015,0.0353
51107611021,gini_index,index,"Census Tract 6110.21, Loudoun County, Virginia",tract,0.3055,2015,0.0287
51107611022,gini_index,index,"Census Tract 6110.22, Loudoun County, Virginia",tract,0.2935,2015,0.0333
51107611023,gini_index,index,"Census Tract 6110.23, Loudoun County, Virginia",tract,0.2621,2015,0.0259
51031020700,gini_index,index,"Census Tract 207, Campbell County, Virginia",tract,0.4539,2015,0.0347
51031020300,gini_index,index,"Census Tract 203, Campbell County, Virginia",tract,0.384,2015,0.0422
51031020800,gini_index,index,"Census Tract 208, Campbell County, Virginia",tract,0.4489,2015,0.0508
51031020900,gini_index,index,"Census Tract 209, Campbell County, Virginia",tract,0.4219,2015,0.0323
51031020600,gini_index,index,"Census Tract 206, Campbell County, Virginia",tract,0.4722,2015,0.0823
51031020200,gini_index,index,"Census Tract 202, Campbell County, Virginia",tract,0.3994,2015,0.0417
51087200105,gini_index,index,"Census Tract 2001.05, Henrico County, Virginia",tract,0.4455,2015,0.0391
51087200112,gini_index,index,"Census Tract 2001.12, Henrico County, Virginia",tract,0.4366,2015,0.0466
51087200503,gini_index,index,"Census Tract 2005.03, Henrico County, Virginia",tract,0.3799,2015,0.0334
