"geoid","measure","value","year"
"51013100100","at_risk_high_cnt",29,2022
"51013100100","at_risk_low_cnt",5,2022
"51013100100","at_risk_medium_cnt",29,2022
"51013100100","food_insecure_cnt",214,2022
"51013100100","food_secure_cnt",1567,2022
"51013100100","total_household_cnt",1845,2022
"51013100100","at_risk_high_pct",1.57,2022
"51013100100","at_risk_low_pct",0.27,2022
"51013100100","at_risk_medium_pct",1.57,2022
"51013100100","food_insecure_pct",11.6,2022
"51013100100","food_secure_pct",84.93,2022
"51013100200","at_risk_high_cnt",29,2022
"51013100200","at_risk_low_cnt",12,2022
"51013100200","at_risk_medium_cnt",13,2022
"51013100200","food_insecure_cnt",355,2022
"51013100200","food_secure_cnt",1950,2022
"51013100200","total_household_cnt",2359,2022
"51013100200","at_risk_high_pct",1.23,2022
"51013100200","at_risk_low_pct",0.51,2022
"51013100200","at_risk_medium_pct",0.55,2022
"51013100200","food_insecure_pct",15.05,2022
"51013100200","food_secure_pct",82.66,2022
"51013100300","at_risk_high_cnt",30,2022
"51013100300","at_risk_low_cnt",16,2022
"51013100300","at_risk_medium_cnt",5,2022
"51013100300","food_insecure_cnt",292,2022
"51013100300","food_secure_cnt",1808,2022
"51013100300","total_household_cnt",2151,2022
"51013100300","at_risk_high_pct",1.39,2022
"51013100300","at_risk_low_pct",0.74,2022
"51013100300","at_risk_medium_pct",0.23,2022
"51013100300","food_insecure_pct",13.58,2022
"51013100300","food_secure_pct",84.05,2022
"51013100400","at_risk_high_cnt",23,2022
"51013100400","at_risk_low_cnt",4,2022
"51013100400","at_risk_medium_cnt",5,2022
"51013100400","food_insecure_cnt",125,2022
"51013100400","food_secure_cnt",1138,2022
"51013100400","total_household_cnt",1295,2022
"51013100400","at_risk_high_pct",1.78,2022
"51013100400","at_risk_low_pct",0.31,2022
"51013100400","at_risk_medium_pct",0.39,2022
"51013100400","food_insecure_pct",9.65,2022
"51013100400","food_secure_pct",87.88,2022
"51013100500","at_risk_high_cnt",22,2022
"51013100500","at_risk_low_cnt",48,2022
"51013100500","at_risk_medium_cnt",4,2022
"51013100500","food_insecure_cnt",280,2022
"51013100500","food_secure_cnt",1170,2022
"51013100500","total_household_cnt",1524,2022
