"ct_geoid","ct_name","hd_geoid","hd_name"
"51510","Alexandria","51_hd_01","Alexandria"
"51580","Covington","51_hd_02","Alleghany"
"51023","Botetourt","51_hd_02","Alleghany"
"51775","Salem","51_hd_02","Alleghany"
"51005","Alleghany","51_hd_02","Alleghany"
"51045","Craig","51_hd_02","Alleghany"
"51161","Roanoke County","51_hd_02","Alleghany"
"51013","Arlington","51_hd_03","Arlington"
"51015","Augusta","51_hd_04","Central Shenandoah"
"51678","Lexington","51_hd_04","Central Shenandoah"
"51017","Bath","51_hd_04","Central Shenandoah"
"51163","Rockbridge","51_hd_04","Central Shenandoah"
"51660","Harrisonburg","51_hd_04","Central Shenandoah"
"51820","Waynesboro","51_hd_04","Central Shenandoah"
"51530","Buena Vista City","51_hd_04","Central Shenandoah"
"51091","Highland","51_hd_04","Central Shenandoah"
"51790","Staunton","51_hd_04","Central Shenandoah"
"51165","Rockingham","51_hd_04","Central Shenandoah"
"51019","Bedford","51_hd_05","Central Virginia"
"51680","Lynchburg","51_hd_05","Central Virginia"
"51009","Amherst","51_hd_05","Central Virginia"
"51011","Appomattox","51_hd_05","Central Virginia"
"51031","Campbell","51_hd_05","Central Virginia"
"51550","Chesapeake","51_hd_06","Chesapeake"
"51145","Powhatan","51_hd_07","Chesterfield"
"51041","Chesterfield","51_hd_07","Chesterfield"
"51570","Colonial Heights","51_hd_07","Chesterfield"
"51075","Goochland","51_hd_08","Chickahominy"
"51085","Hanover","51_hd_08","Chickahominy"
"51127","New Kent","51_hd_08","Chickahominy"
"51036","Charles City","51_hd_08","Chickahominy"
"51183","Sussex","51_hd_09","Crater"
"51053","Dinwiddie","51_hd_09","Crater"
"51670","Hopewell","51_hd_09","Crater"
"51730","Petersburg","51_hd_09","Crater"
"51081","Greensville","51_hd_09","Crater"
"51595","Emporia","51_hd_09","Crater"
"51181","Surry","51_hd_09","Crater"
"51149","Prince George","51_hd_09","Crater"
"51027","Buchanan","51_hd_10","Cumberland Plateau"
"51167","Russell","51_hd_10","Cumberland Plateau"
"51051","Dickenson","51_hd_10","Cumberland Plateau"
"51185","Tazewell","51_hd_10","Cumberland Plateau"
"51001","Accomack","51_hd_11","Eastern Shore"
"51131","Northampton","51_hd_11","Eastern Shore"
"51059","Fairfax","51_hd_12","Fairfax"
"51610","Falls Church","51_hd_12","Fairfax"
"51600","Fairfax City","51_hd_12","Fairfax"
"51650","Hampton","51_hd_13","Hampton"
"51087","Henrico","51_hd_14","Henrico"
"51195","Wise","51_hd_15","Lenowisco"
"51105","Lee","51_hd_15","Lenowisco"
"51169","Scott","51_hd_15","Lenowisco"
"51720","Norton","51_hd_15","Lenowisco"
"51139","Page","51_hd_16","Lord Fairfax"
"51171","Shenandoah","51_hd_16","Lord Fairfax"
"51840","Winchester","51_hd_16","Lord Fairfax"
"51069","Frederick","51_hd_16","Lord Fairfax"
"51187","Warren","51_hd_16","Lord Fairfax"
"51043","Clarke","51_hd_16","Lord Fairfax"
"51107","Loudoun","51_hd_17","Loudoun"
"51035","Carroll","51_hd_18","Mount Rogers"
"51520","Bristol","51_hd_18","Mount Rogers"
"51021","Bland","51_hd_18","Mount Rogers"
"51173","Smyth","51_hd_18","Mount Rogers"
"51197","Wythe","51_hd_18","Mount Rogers"
"51077","Grayson","51_hd_18","Mount Rogers"
"51640","Galax","51_hd_18","Mount Rogers"
"51191","Washington","51_hd_18","Mount Rogers"
"51121","Montgomery","51_hd_19","New River"
"51750","Radford","51_hd_19","New River"
"51155","Pulaski","51_hd_19","New River"
"51063","Floyd","51_hd_19","New River"
"51071","Giles","51_hd_19","New River"
"51710","Norfolk","51_hd_20","Norfolk"
"51735","Poquoson","51_hd_21","Peninsula"
"51095","James City","51_hd_21","Peninsula"
"51199","York","51_hd_21","Peninsula"
"51700","Newport News","51_hd_21","Peninsula"
"51830","Williamsburg","51_hd_21","Peninsula"
"51049","Cumberland","51_hd_22","Piedmont"
"51111","Lunenburg","51_hd_22","Piedmont"
"51135","Nottoway","51_hd_22","Piedmont"
"51147","Prince Edward","51_hd_22","Piedmont"
"51007","Amelia","51_hd_22","Piedmont"
"51037","Charlotte","51_hd_22","Piedmont"
"51029","Buckingham","51_hd_22","Piedmont"
"51590","Danville","51_hd_23","Pittsylvania/Danville"
"51143","Pittsylvania","51_hd_23","Pittsylvania/Danville"
"51740","Portsmouth","51_hd_24","Portsmouth"
"51153","Prince William","51_hd_25","Prince William"
"51685","Manassas Park","51_hd_25","Prince William"
"51683","Manassas City","51_hd_25","Prince William"
"51179","Stafford","51_hd_26","Rappahannock Area"
"51177","Spotsylvania","51_hd_26","Rappahannock Area"
"51630","Fredericksburg","51_hd_26","Rappahannock Area"
"51099","King George","51_hd_26","Rappahannock Area"
"51033","Caroline","51_hd_26","Rappahannock Area"
"51061","Fauquier","51_hd_27","Rappahannock/Rapidan"
"51137","Orange","51_hd_27","Rappahannock/Rapidan"
"51113","Madison","51_hd_27","Rappahannock/Rapidan"
"51157","Rappahannock","51_hd_27","Rappahannock/Rapidan"
"51047","Culpeper","51_hd_27","Rappahannock/Rapidan"
"51760","Richmond City","51_hd_28","Richmond"
"51770","Roanoke City","51_hd_29","Roanoke City"
"51083","Halifax","51_hd_30","Southside"
