"adcw_id","state","county","geoid"
"140002904","Alabama",NULL,"01"
"140002886","Colorado",NULL,"08"
"140002907","North Carolina",NULL,"37"
"140002871","North Dakota",NULL,"38"
"140002882","Alaska",NULL,"02"
"140002897","Arkansas",NULL,"05"
"140002888","Arizona",NULL,"04"
"140002924","District of Columbia",NULL,"11"
"140002925","Connecticut",NULL,"09"
"140002883","California",NULL,"06"
"140002926","Delaware",NULL,"10"
"140002903","Georgia",NULL,"13"
"140002900","Florida",NULL,"12"
"140002927","Hawaii",NULL,"15"
"140002870","Idaho",NULL,"16"
"140002913","Illinois",NULL,"17"
"140002912","Indiana",NULL,"18"
"140002891","Iowa",NULL,"19"
"140002895","Kansas",NULL,"20"
"140002906","Kentucky",NULL,"21"
"140002902","Mississippi",NULL,"28"
"140002899","Louisiana",NULL,"22"
"140002919","Maine",NULL,"23"
"140002918","Maryland",NULL,"24"
"140002921","Massachusetts",NULL,"25"
"140002873","Minnesota",NULL,"27"
"140002914","Michigan",NULL,"26"
"140002893","Missouri",NULL,"29"
"140002876","Montana",NULL,"30"
"140002894","Nebraska",NULL,"31"
"140002885","Nevada",NULL,"32"
"140002922","New Hampshire",NULL,"33"
"140002920","New Jersey",NULL,"34"
"140002890","New Mexico",NULL,"35"
"140002917","New York",NULL,"36"
"140002892","Oklahoma",NULL,"40"
"140002911","Ohio",NULL,"39"
"140002884","Oregon",NULL,"41"
"140002915","Pennsylvania",NULL,"42"
"140002923","Rhode Island",NULL,"44"
"140002901","South Carolina",NULL,"45"
"140002898","South Dakota",NULL,"46"
"140002908","Tennessee",NULL,"47"
"140002896","Texas",NULL,"48"
"140002916","Vermont",NULL,"50"
"140002889","Utah",NULL,"49"
"140002905","Virginia",NULL,"51"
"140002887","Wyoming",NULL,"56"
"140002872","Washington",NULL,"53"
"140002909","West Virginia",NULL,"54"
"140002910","Wisconsin",NULL,"55"
"160019761","North Dakota","Mcintosh","38051"
"160019818","Minnesota","Pipestone","27117"
"160020789","Missouri","Montgomery","29139"
"160022683","New York","Montgomery","36057"
"160022485","Ohio","Summit","39153"
"160019711","Idaho","Jefferson","16051"
"160021540","Georgia","Stewart","13259"
"160021477","Georgia","Mitchell","13205"
"160020780","Iowa","Mitchell","19131"
"160020778","Kansas","Mitchell","20123"
"160020918","Oklahoma","Rogers","40131"
"160019844","North Dakota","Rolette","38079"
"160020754","Oklahoma","Mcintosh","40091"
"160022672","Pennsylvania","Mckean","42083"
"160021925","North Carolina","Montgomery","37123"
"160020791","Texas","Montgomery","48339"
"160022395","Ohio","Noble","39121"
"160020815","Oklahoma","Noble","40103"
"160019787","Minnesota","Nobles","27105"
"160020816","Missouri","Nodaway","29147"
"160020817","Texas","Nolan","48353"
"160019931","Alaska","Nome","02180"
"160022484","Indiana","Sullivan","18153"
"160020994","Missouri","Sullivan","29211"
"160020877","Arkansas","Pope","05115"
"160022428","Illinois","Pope","17151"
"160021981","Virginia","Powhatan","51145"
"160022647","New Jersey","Hunterdon","34019"
"160021462","Mississippi","Madison","28089"
"160020727","Missouri","Madison","29123"
"160020747","Texas","Maverick","48323"
"160021919","North Carolina","Mitchell","37121"
"160020779","Texas","Mitchell","48335"
"160020884","Arkansas","Prairie","05117"
"160022648","Pennsylvania","Huntingdon","42061"
"160022269","Indiana","Huntington","18069"
"160020603","Texas","Hunt","48231"
"160021926","Virginia","Montgomery","51121"
"160022385","Michigan","Montmorency","26119"
"160022686","Pennsylvania","Montour","42093"
"160020144","Colorado","Montrose","08085"
"160021929","North Carolina","Moore","37125"
"160021928","Tennessee","Moore","47127"
"160020029","Nevada","Storey","32029"
"160022748","New Hampshire","Sullivan","33019"
"160022749","New York","Sullivan","36105"
