geoid,region_type,region_name,year,measure,value,measure_type
51_ahec_01,ahec region,Blue Ridge AHEC,2016,degrees_awarded_undergraduate,546,count
51_ahec_02,ahec region,Capital AHEC,2016,degrees_awarded_undergraduate,692,count
51_ahec_03,ahec region,Eastern Virginia AHEC,2016,degrees_awarded_undergraduate,341,count
51_ahec_04,ahec region,Northern Virginia AHEC,2016,degrees_awarded_undergraduate,275,count
51_ahec_05,ahec region,Rappahannock AHEC,2016,degrees_awarded_undergraduate,326,count
51_ahec_06,ahec region,Southside AHEC,2016,degrees_awarded_undergraduate,405,count
51_ahec_07,ahec region,South Central AHEC,2016,degrees_awarded_undergraduate,305,count
51_ahec_08,ahec region,Southwest Virginia AHEC,2016,degrees_awarded_undergraduate,874,count
51_ahec_01,ahec region,Blue Ridge AHEC,2017,degrees_awarded_undergraduate,546,count
51_ahec_02,ahec region,Capital AHEC,2017,degrees_awarded_undergraduate,646,count
51_ahec_03,ahec region,Eastern Virginia AHEC,2017,degrees_awarded_undergraduate,345,count
51_ahec_04,ahec region,Northern Virginia AHEC,2017,degrees_awarded_undergraduate,282,count
51_ahec_05,ahec region,Rappahannock AHEC,2017,degrees_awarded_undergraduate,374,count
51_ahec_06,ahec region,Southside AHEC,2017,degrees_awarded_undergraduate,377,count
51_ahec_07,ahec region,South Central AHEC,2017,degrees_awarded_undergraduate,290,count
51_ahec_08,ahec region,Southwest Virginia AHEC,2017,degrees_awarded_undergraduate,812,count
51_ahec_01,ahec region,Blue Ridge AHEC,2018,degrees_awarded_undergraduate,555,count
51_ahec_02,ahec region,Capital AHEC,2018,degrees_awarded_undergraduate,709,count
51_ahec_03,ahec region,Eastern Virginia AHEC,2018,degrees_awarded_undergraduate,321,count
51_ahec_04,ahec region,Northern Virginia AHEC,2018,degrees_awarded_undergraduate,278,count
51_ahec_05,ahec region,Rappahannock AHEC,2018,degrees_awarded_undergraduate,340,count
51_ahec_06,ahec region,Southside AHEC,2018,degrees_awarded_undergraduate,353,count
51_ahec_07,ahec region,South Central AHEC,2018,degrees_awarded_undergraduate,289,count
51_ahec_08,ahec region,Southwest Virginia AHEC,2018,degrees_awarded_undergraduate,857,count
51_ahec_01,ahec region,Blue Ridge AHEC,2019,degrees_awarded_undergraduate,488,count
51_ahec_02,ahec region,Capital AHEC,2019,degrees_awarded_undergraduate,634,count
51_ahec_03,ahec region,Eastern Virginia AHEC,2019,degrees_awarded_undergraduate,318,count
51_ahec_04,ahec region,Northern Virginia AHEC,2019,degrees_awarded_undergraduate,296,count
51_ahec_05,ahec region,Rappahannock AHEC,2019,degrees_awarded_undergraduate,335,count
51_ahec_06,ahec region,Southside AHEC,2019,degrees_awarded_undergraduate,374,count
51_ahec_07,ahec region,South Central AHEC,2019,degrees_awarded_undergraduate,271,count
51_ahec_08,ahec region,Southwest Virginia AHEC,2019,degrees_awarded_undergraduate,794,count
51_ahec_01,ahec region,Blue Ridge AHEC,2016,degrees_awarded_graduate,274,count
51_ahec_02,ahec region,Capital AHEC,2016,degrees_awarded_graduate,259,count
51_ahec_03,ahec region,Eastern Virginia AHEC,2016,degrees_awarded_graduate,185,count
51_ahec_04,ahec region,Northern Virginia AHEC,2016,degrees_awarded_graduate,102,count
