geoid,air_quality_quintile,air_quality_level,region_name,region_type
51001090600,3,Average,"Census Tract 906, Accomack County, Virginia",tract
51001090300,4,High,"Census Tract 903, Accomack County, Virginia",tract
51001090500,4,High,"Census Tract 905, Accomack County, Virginia",tract
51001090700,4,High,"Census Tract 907, Accomack County, Virginia",tract
51001090800,4,High,"Census Tract 908, Accomack County, Virginia",tract
51001090200,4,High,"Census Tract 902, Accomack County, Virginia",tract
51001090100,4,High,"Census Tract 901, Accomack County, Virginia",tract
51001090400,4,High,"Census Tract 904, Accomack County, Virginia",tract
51001980200,5,Very High,"Census Tract 9802, Accomack County, Virginia",tract
51003010901,1,Very Low,"Census Tract 109.01, Albemarle County, Virginia",tract
51003010700,1,Very Low,"Census Tract 107, Albemarle County, Virginia",tract
51003010903,1,Very Low,"Census Tract 109.03, Albemarle County, Virginia",tract
51003010800,2,Low,"Census Tract 108, Albemarle County, Virginia",tract
51003010902,2,Low,"Census Tract 109.02, Albemarle County, Virginia",tract
51003011000,3,Average,"Census Tract 110, Albemarle County, Virginia",tract
51003010500,3,Average,"Census Tract 105, Albemarle County, Virginia",tract
51003010300,3,Average,"Census Tract 103, Albemarle County, Virginia",tract
51003011100,3,Average,"Census Tract 111, Albemarle County, Virginia",tract
51003010601,3,Average,"Census Tract 106.01, Albemarle County, Virginia",tract
51003011400,4,High,"Census Tract 114, Albemarle County, Virginia",tract
51003010100,4,High,"Census Tract 101, Albemarle County, Virginia",tract
51003010201,4,High,"Census Tract 102.01, Albemarle County, Virginia",tract
51003011201,5,Very High,"Census Tract 112.01, Albemarle County, Virginia",tract
51003011202,5,Very High,"Census Tract 112.02, Albemarle County, Virginia",tract
51003010202,5,Very High,"Census Tract 102.02, Albemarle County, Virginia",tract
51003010401,5,Very High,"Census Tract 104.01, Albemarle County, Virginia",tract
51003010402,5,Very High,"Census Tract 104.02, Albemarle County, Virginia",tract
51003011301,5,Very High,"Census Tract 113.01, Albemarle County, Virginia",tract
51003011302,5,Very High,"Census Tract 113.02, Albemarle County, Virginia",tract
51003010602,5,Very High,"Census Tract 106.02, Albemarle County, Virginia",tract
51003011303,5,Very High,"Census Tract 113.03, Albemarle County, Virginia",tract
51510200102,1,Very Low,"Census Tract 2001.02, Alexandria city, Virginia",tract
51510200104,1,Very Low,"Census Tract 2001.04, Alexandria city, Virginia",tract
51510200105,1,Very Low,"Census Tract 2001.05, Alexandria city, Virginia",tract
51510200201,1,Very Low,"Census Tract 2002.01, Alexandria city, Virginia",tract
51510200202,1,Very Low,"Census Tract 2002.02, Alexandria city, Virginia",tract
